ID                                    0xc2fb
Delivery_person_ID             GOARES03DEL03
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                15.574828
Restaurant_longitude               73.766883
Delivery_location_latitude         15.664828
Delivery_location_longitude        73.856883
Order_Date                        12-02-2022
Time_Orderd                            17:15
Time_Order_picked                      17:25
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 29511, dtype: object
