ID                                      0x78c5
Delivery_person_ID             COIMBRES05DEL03
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.022169
Restaurant_longitude                 76.999594
Delivery_location_latitude           11.052169
Delivery_location_longitude          77.029594
Order_Date                          30-03-2022
Time_Orderd                              17:35
Time_Order_picked                        17:50
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     26.000000
Name: 13893, dtype: object
