ID                                    0xca4d
Delivery_person_ID             BHPRES12DEL01
Delivery_person_Age                    32.00
Delivery_person_Ratings                 4.80
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        13-02-2022
Time_Orderd                             9:30
Time_Order_picked                       9:35
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                                   Urban
Time_taken (min)                       24.00
Name: 26235, dtype: object
