ID                                        0x99be
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    33.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.434422
Delivery_location_longitude            85.412900
Order_Date                            06-03-2022
Time_Orderd                                18:35
Time_Order_picked                          18:40
Weather conditions                        Stormy
Road_traffic_density                      Medium
Vehicle_condition                              0
Type_of_order                             Drinks
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                                       Urban
Time_taken (min)                       30.000000
Name: 23745, dtype: object
