ID                                    0x4fde
Delivery_person_ID             SURRES15DEL03
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                21.160522
Restaurant_longitude               72.771477
Delivery_location_latitude         21.250522
Delivery_location_longitude        72.861477
Order_Date                        02-03-2022
Time_Orderd                            19:20
Time_Order_picked                      19:30
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   34.000000
Name: 42167, dtype: object
