ID                                       0x22db
Delivery_person_ID             RANCHIRES02DEL02
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.08
Delivery_location_longitude                0.08
Order_Date                           04-03-2022
Time_Orderd                               21:55
Time_Order_picked                         22:05
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          44.00
Name: 22724, dtype: object
