ID                                     0xd72e
Delivery_person_ID             LUDHRES19DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 30.902872
Restaurant_longitude                75.826808
Delivery_location_latitude          30.912872
Delivery_location_longitude         75.836808
Order_Date                         13-02-2022
Time_Orderd                             10:55
Time_Order_picked                       11:05
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 17608, dtype: object
