ID                                     0xdd78
Delivery_person_ID             LUDHRES15DEL03
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 30.899584
Restaurant_longitude                75.809346
Delivery_location_latitude          30.959584
Delivery_location_longitude         75.869346
Order_Date                         13-02-2022
Time_Orderd                             21:45
Time_Order_picked                       21:50
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 41211, dtype: object
