ID                                       0x3dfc
Delivery_person_ID                SURRES06DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   21.185047
Restaurant_longitude                  72.808590
Delivery_location_latitude            21.235047
Delivery_location_longitude           72.858590
Order_Date                           15-03-2022
Time_Orderd                               17:10
Time_Order_picked                         17:15
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 41803, dtype: object
