ID                                       0x4b1c
Delivery_person_ID             RANCHIRES14DEL02
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.30
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.05
Delivery_location_longitude                0.05
Order_Date                           15-03-2022
Time_Orderd                               20:55
Time_Order_picked                         21:05
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                             Snack
Type_of_vehicle                      motorcycle
multiple_deliveries                        2.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          35.00
Name: 30461, dtype: object
