ID                                     0x4e1e
Delivery_person_ID             BANGRES05DEL01
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.970324
Restaurant_longitude                77.645748
Delivery_location_latitude          13.010324
Delivery_location_longitude         77.685748
Order_Date                         26-03-2022
Time_Orderd                             16:25
Time_Order_picked                       16:30
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 4008, dtype: object
