ID                                     0x398d
Delivery_person_ID             PUNERES08DEL02
Delivery_person_Age                  28.00000
Delivery_person_Ratings               4.80000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.55408
Delivery_location_longitude          73.91852
Order_Date                         21-03-2022
Time_Orderd                             11:45
Time_Order_picked                       11:60
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                   1.00000
Festival                                  NaN
City                                    Urban
Time_taken (min)                     12.00000
Name: 31422, dtype: object
