ID                                       0xa2cd
Delivery_person_ID                MUMRES05DEL03
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   18.927584
Restaurant_longitude                  72.832585
Delivery_location_latitude            19.017584
Delivery_location_longitude           72.922585
Order_Date                           23-03-2022
Time_Orderd                               19:60
Time_Order_picked                         20:15
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      43.000000
Name: 18698, dtype: object
