ID                                    0xc04f
Delivery_person_ID             BHPRES20DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude               -23.235123
Restaurant_longitude               77.398886
Delivery_location_latitude         23.345123
Delivery_location_longitude        77.508886
Order_Date                        12-02-2022
Time_Orderd                            18:10
Time_Order_picked                      18:15
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 42822, dtype: object
