ID                                      0x9fb
Delivery_person_ID             BANGRES17DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 12.972532
Restaurant_longitude                77.608179
Delivery_location_latitude          13.012532
Delivery_location_longitude         77.648179
Order_Date                         01-03-2022
Time_Orderd                             12:40
Time_Order_picked                       12:50
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 7915, dtype: object
