ID                                       0x7e05
Delivery_person_ID             RANCHIRES13DEL01
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.484989
Delivery_location_longitude           85.445486
Order_Date                           16-03-2022
Time_Orderd                               19:30
Time_Order_picked                         19:40
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 25634, dtype: object
