ID                                       0xde05
Delivery_person_ID                KOLRES19DEL03
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   22.549100
Restaurant_longitude                  88.400467
Delivery_location_latitude            22.639100
Delivery_location_longitude           88.490467
Order_Date                           14-02-2022
Time_Orderd                               20:50
Time_Order_picked                         21:05
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 38093, dtype: object
