ID                                     0xbffb
Delivery_person_ID             LUDHRES06DEL02
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.895204
Restaurant_longitude                75.822103
Delivery_location_latitude          30.915204
Delivery_location_longitude         75.842103
Order_Date                         15-02-2022
Time_Orderd                             11:60
Time_Order_picked                       12:05
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 16365, dtype: object
