ID                                     0xdcc1
Delivery_person_ID             ALHRES010DEL01
Delivery_person_Age                     34.00
Delivery_person_Ratings                  4.70
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.07
Delivery_location_longitude              0.07
Order_Date                         16-02-2022
Time_Orderd                             20:30
Time_Order_picked                       20:45
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                  Yes
City                                    Urban
Time_taken (min)                        43.00
Name: 33587, dtype: object
