ID                                      0x9c43
Delivery_person_ID             COIMBRES02DEL03
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.022477
Restaurant_longitude                 76.995667
Delivery_location_latitude           11.082477
Delivery_location_longitude          77.055667
Order_Date                          09-03-2022
Time_Orderd                              20:15
Time_Order_picked                        20:20
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     20.000000
Name: 18254, dtype: object
