ID                                    0xe21a
Delivery_person_ID             ALHRES20DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                25.454697
Restaurant_longitude               81.834492
Delivery_location_latitude         25.494697
Delivery_location_longitude        81.874492
Order_Date                        11-02-2022
Time_Orderd                            15:55
Time_Order_picked                      15:60
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 20875, dtype: object
