ID                                       0x5f85
Delivery_person_ID                JAPRES17DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   26.892312
Restaurant_longitude                  75.806896
Delivery_location_latitude            26.932312
Delivery_location_longitude           75.846896
Order_Date                           21-03-2022
Time_Orderd                               12:25
Time_Order_picked                         12:35
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 31786, dtype: object
