ID                                       0x9fe2
Delivery_person_ID                SURRES15DEL01
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   21.160522
Restaurant_longitude                  72.771477
Delivery_location_latitude            21.200522
Delivery_location_longitude           72.811477
Order_Date                           11-03-2022
Time_Orderd                               12:45
Time_Order_picked                         12:55
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 40531, dtype: object
