ID                                     0x72cd
Delivery_person_ID             INDORES07DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 22.722634
Restaurant_longitude                75.886959
Delivery_location_latitude          22.732634
Delivery_location_longitude         75.896959
Order_Date                         03-03-2022
Time_Orderd                             10:55
Time_Order_picked                       10:60
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 29833, dtype: object
