ID                                       0x63e2
Delivery_person_ID                HYDRES18DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   17.450851
Restaurant_longitude                  78.379347
Delivery_location_latitude            17.540851
Delivery_location_longitude           78.469347
Order_Date                           02-03-2022
Time_Orderd                               20:30
Time_Order_picked                         20:35
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 42280, dtype: object
