ID                                    0xc37b
Delivery_person_ID             GOARES11DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                15.544419
Restaurant_longitude               73.755736
Delivery_location_latitude         15.654419
Delivery_location_longitude        73.865736
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:25
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 32953, dtype: object
