ID                                    0x1dc3
Delivery_person_ID             MUMRES03DEL02
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                19.223840
Restaurant_longitude               72.841347
Delivery_location_latitude         19.303840
Delivery_location_longitude        72.921347
Order_Date                        14-03-2022
Time_Orderd                            19:45
Time_Order_picked                      19:55
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 16817, dtype: object
