ID                                    0xcb82
Delivery_person_ID             AGRRES07DEL01
Delivery_person_Age                31.000000
Delivery_person_Ratings             3.700000
Restaurant_latitude                27.160934
Restaurant_longitude               78.044095
Delivery_location_latitude         27.230934
Delivery_location_longitude        78.114095
Order_Date                        12-02-2022
Time_Orderd                            20:55
Time_Order_picked                      21:05
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   34.000000
Name: 41420, dtype: object
