ID                                       0xd3c3
Delivery_person_ID               ALHRES010DEL03
Delivery_person_Age                       34.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           11-02-2022
Time_Orderd                               23:35
Time_Order_picked                         23:45
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          17.00
Name: 30694, dtype: object
