ID                                       0xc328
Delivery_person_ID                ALHRES18DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   25.450317
Restaurant_longitude                  81.831681
Delivery_location_latitude            25.500317
Delivery_location_longitude           81.881681
Order_Date                           17-02-2022
Time_Orderd                               22:30
Time_Order_picked                         22:40
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      22.000000
Name: 22087, dtype: object
