ID                                    0xc8c9
Delivery_person_ID             KOCRES19DEL02
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                 9.960846
Restaurant_longitude               76.293936
Delivery_location_latitude          9.980846
Delivery_location_longitude        76.313936
Order_Date                        13-02-2022
Time_Orderd                             9:30
Time_Order_picked                       9:45
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   27.000000
Name: 2579, dtype: object
