ID                                     0x4dc
Delivery_person_ID             HYDRES06DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -17.455894
Restaurant_longitude              -78.375467
Delivery_location_latitude         17.545894
Delivery_location_longitude        78.465467
Order_Date                        29-03-2022
Time_Orderd                              NaN
Time_Order_picked                      22:25
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   23.000000
Name: 38945, dtype: object
