ID                                       0x49f7
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       31.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.08
Delivery_location_longitude                0.08
Order_Date                           23-03-2022
Time_Orderd                               22:10
Time_Order_picked                         22:20
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          25.00
Name: 12902, dtype: object
