ID                                     0xbccd
Delivery_person_ID             PUNERES15DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.636215
Restaurant_longitude                73.751081
Delivery_location_latitude          18.646215
Delivery_location_longitude         73.761081
Order_Date                         28-03-2022
Time_Orderd                             10:45
Time_Order_picked                       10:55
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 45204, dtype: object
