ID                                    0xbf4f
Delivery_person_ID             KOLRES15DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.552672
Restaurant_longitude               88.352885
Delivery_location_latitude         22.572672
Delivery_location_longitude        88.372885
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                       9:25
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 38190, dtype: object
