ID                                    0xc7b5
Delivery_person_ID             AGRRES13DEL01
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                27.159795
Restaurant_longitude               78.042990
Delivery_location_latitude         27.199795
Delivery_location_longitude        78.082990
Order_Date                        11-02-2022
Time_Orderd                            16:50
Time_Order_picked                      16:55
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 31751, dtype: object
