ID                                      0x2dd8
Delivery_person_ID             COIMBRES11DEL02
Delivery_person_Age                  30.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.081753
Delivery_location_longitude          77.066241
Order_Date                          27-03-2022
Time_Orderd                              22:30
Time_Order_picked                        22:45
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     38.000000
Name: 42479, dtype: object
