ID                                       0xb0e1
Delivery_person_ID                HYDRES03DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   17.422819
Restaurant_longitude                  78.449578
Delivery_location_latitude            17.492819
Delivery_location_longitude           78.519578
Order_Date                           29-03-2022
Time_Orderd                               17:50
Time_Order_picked                         18:05
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 4542, dtype: object
