ID                                       0xd0b5
Delivery_person_ID                KNPRES20DEL02
Delivery_person_Age                       33.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                       26.47
Restaurant_longitude                      80.35
Delivery_location_latitude                26.60
Delivery_location_longitude               80.48
Order_Date                           14-02-2022
Time_Orderd                               23:60
Time_Order_picked                         24:15
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          29.00
Name: 39418, dtype: object
