ID                                      0x4b5a
Delivery_person_ID             INDORES010DEL03
Delivery_person_Age                  23.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.780040
Delivery_location_longitude          75.932847
Order_Date                          30-03-2022
Time_Orderd                              18:30
Time_Order_picked                        18:45
Weather conditions                         Fog
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     10.000000
Name: 19785, dtype: object
