ID                                       0xbb8e
Delivery_person_ID                MUMRES06DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.055831
Restaurant_longitude                  72.833984
Delivery_location_latitude            19.095831
Delivery_location_longitude           72.873984
Order_Date                           21-03-2022
Time_Orderd                               16:10
Time_Order_picked                         16:25
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 38754, dtype: object
