ID                                    0x5b1c
Delivery_person_ID             MUMRES07DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                19.091458
Restaurant_longitude               72.827808
Delivery_location_latitude         19.221458
Delivery_location_longitude        72.957808
Order_Date                        18-03-2022
Time_Orderd                            20:55
Time_Order_picked                      20:60
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 21067, dtype: object
