ID                                       0x1a5e
Delivery_person_ID                MYSRES07DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.325461
Restaurant_longitude                  76.632278
Delivery_location_latitude            12.335461
Delivery_location_longitude           76.642278
Order_Date                           17-03-2022
Time_Orderd                               10:60
Time_Order_picked                         11:15
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      12.000000
Name: 39797, dtype: object
