ID                                       0x6ae3
Delivery_person_ID             RANCHIRES13DEL02
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.374989
Restaurant_longitude                  85.335486
Delivery_location_latitude            23.424989
Delivery_location_longitude           85.385486
Order_Date                           26-03-2022
Time_Orderd                               23:25
Time_Order_picked                         23:40
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      12.000000
Name: 15131, dtype: object
