ID                                     0xcc38
Delivery_person_ID             LUDHRES07DEL01
Delivery_person_Age                     36.00
Delivery_person_Ratings                  5.00
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.11
Delivery_location_longitude              0.11
Order_Date                         12-02-2022
Time_Orderd                             20:60
Time_Order_picked                       21:05
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      2.00
Festival                                   No
City                               Semi-Urban
Time_taken (min)                        50.00
Name: 22988, dtype: object
