ID                                      0x4fa6
Delivery_person_ID             COIMBRES06DEL03
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.111278
Delivery_location_longitude          77.085017
Order_Date                          10-03-2022
Time_Orderd                              20:35
Time_Order_picked                        20:40
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 13037, dtype: object
