ID                                     0x85fb
Delivery_person_ID             PUNERES17DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.530963
Restaurant_longitude                73.828972
Delivery_location_latitude          18.640963
Delivery_location_longitude         73.938972
Order_Date                         20-03-2022
Time_Orderd                             21:15
Time_Order_picked                       21:20
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    35.000000
Name: 23740, dtype: object
