ID                                     0xcd9d
Delivery_person_ID             LUDHRES04DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 30.914057
Restaurant_longitude                75.839820
Delivery_location_latitude          30.924057
Delivery_location_longitude         75.849820
Order_Date                         11-02-2022
Time_Orderd                             10:50
Time_Order_picked                       11:05
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    16.000000
Name: 39758, dtype: object
