ID                                       0xdd73
Delivery_person_ID               LUDHRES14DEL03
Delivery_person_Age                   35.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   30.892978
Restaurant_longitude                  75.821847
Delivery_location_latitude            30.982978
Delivery_location_longitude           75.911847
Order_Date                           14-02-2022
Time_Orderd                               23:60
Time_Order_picked                         24:10
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 39835, dtype: object
