ID                                    0xc0e7
Delivery_person_ID             AGRRES11DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude               -27.163303
Restaurant_longitude               78.057044
Delivery_location_latitude         27.203303
Delivery_location_longitude        78.097044
Order_Date                        11-02-2022
Time_Orderd                            12:50
Time_Order_picked                      12:60
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 2381, dtype: object
