ID                                       0x46ea
Delivery_person_ID               INDORES14DEL02
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.761593
Restaurant_longitude                  75.886362
Delivery_location_latitude            22.781593
Delivery_location_longitude           75.906362
Order_Date                           01-04-2022
Time_Orderd                                9:55
Time_Order_picked                          9:60
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 41651, dtype: object
