ID                                    0x78d7
Delivery_person_ID             HYDRES08DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                17.438263
Restaurant_longitude               78.397865
Delivery_location_latitude         17.478263
Delivery_location_longitude        78.437865
Order_Date                        11-03-2022
Time_Orderd                            12:55
Time_Order_picked                      13:10
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 12064, dtype: object
