ID                                     0x56dc
Delivery_person_ID             HYDRES010DEL02
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 17.428294
Restaurant_longitude                78.404423
Delivery_location_latitude          17.448294
Delivery_location_longitude         78.424423
Order_Date                         21-03-2022
Time_Orderd                             11:10
Time_Order_picked                       11:15
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 27742, dtype: object
