ID                                    0xcb5c
Delivery_person_ID             KNPRES06DEL01
Delivery_person_Age                    31.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        11-02-2022
Time_Orderd                            10:55
Time_Order_picked                      11:10
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       19.00
Name: 17420, dtype: object
