ID                                       0xaaac
Delivery_person_ID               PUNERES16DEL02
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   18.536718
Restaurant_longitude                  73.830327
Delivery_location_latitude            18.616719
Delivery_location_longitude           73.910327
Order_Date                           18-03-2022
Time_Orderd                               17:45
Time_Order_picked                         17:60
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 3121, dtype: object
