ID                                     0xbe4f
Delivery_person_ID             PUNERES19DEL03
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.563934
Restaurant_longitude                73.915367
Delivery_location_latitude          18.623935
Delivery_location_longitude         73.975367
Order_Date                         26-03-2022
Time_Orderd                             17:45
Time_Order_picked                       17:50
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    14.000000
Name: 6348, dtype: object
