ID                                       0xc153
Delivery_person_ID                KOLRES01DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   22.514688
Restaurant_longitude                  88.393294
Delivery_location_latitude            22.524688
Delivery_location_longitude           88.403294
Order_Date                           17-02-2022
Time_Orderd                                9:55
Time_Order_picked                         10:10
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      13.000000
Name: 29575, dtype: object
