ID                                    0xdfa7
Delivery_person_ID             KOCRES19DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                 9.960846
Restaurant_longitude               76.293936
Delivery_location_latitude          9.970846
Delivery_location_longitude        76.303936
Order_Date                        17-02-2022
Time_Orderd                             9:25
Time_Order_picked                       9:40
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 31630, dtype: object
