ID                                     0xbf75
Delivery_person_ID             AURGRES02DEL01
Delivery_person_Age                     34.00
Delivery_person_Ratings                  4.50
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.07
Delivery_location_longitude              0.07
Order_Date                         12-02-2022
Time_Orderd                             22:20
Time_Order_picked                       22:25
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        22.00
Name: 12793, dtype: object
