ID                                       0xb2e0
Delivery_person_ID               PUNERES05DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   18.543626
Restaurant_longitude                  73.905101
Delivery_location_latitude            18.593626
Delivery_location_longitude           73.955101
Order_Date                           01-03-2022
Time_Orderd                               20:50
Time_Order_picked                         21:05
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      13.000000
Name: 9284, dtype: object
