ID                                      0xc540
Delivery_person_ID             LUDHRES010DEL03
Delivery_person_Age                  32.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.922860
Delivery_location_longitude          75.852199
Order_Date                          13-02-2022
Time_Orderd                              21:55
Time_Order_picked                        21:60
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 36352, dtype: object
