ID                                    0xc7eb
Delivery_person_ID             KNPRES20DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.56
Delivery_location_longitude            80.44
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:25
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       24.00
Name: 26786, dtype: object
