ID                                    0xd0cd
Delivery_person_ID             AGRRES14DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                27.161850
Restaurant_longitude               78.040165
Delivery_location_latitude         27.271850
Delivery_location_longitude        78.150165
Order_Date                        12-02-2022
Time_Orderd                              NaN
Time_Order_picked                      23:35
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   25.000000
Name: 21732, dtype: object
