ID                                     0xc4f2
Delivery_person_ID             AURGRES17DEL03
Delivery_person_Age                 21.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 19.876994
Restaurant_longitude                75.372353
Delivery_location_latitude          19.906994
Delivery_location_longitude         75.402353
Order_Date                         15-02-2022
Time_Orderd                             20:55
Time_Order_picked                       21:10
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                                    Urban
Time_taken (min)                    14.000000
Name: 13762, dtype: object
